Year,JAN-p,FEB-p,MAR-p,APR-p,MAY-p,JUN-p,JUL-p,AUG-p,SEP-p,OCT-p,JAN-txa,FEB-txa,MAR-txa,APR-txa,MAY-txa,JUN-txa,JUL-txa,AUG-txa,SEP-txa,OCT-txa,JAN-taa,FEB-taa,MAR-taa,APR-taa,MAY-taa,JUN-taa,JUL-taa,AUG-taa,SEP-taa,OCT-taa,JAN-tna,FEB-tna,MAR-tna,APR-tna,MAY-tna,JUN-tna,JUL-tna,AUG-tna,SEP-tna,OCT-tna,JAN-txm,FEB-txm,MAR-txm,APR-txm,MAY-txm,JUN-txm,JUL-txm,AUG-txm,SEP-txm,OCT-txm,JAN-tnm,FEB-tnm,MAR-tnm,APR-tnm,MAY-tnm,JUN-tnm,JUL-tnm,AUG-tnm,SEP-tnm,OCT-tnm
1991-01-01,0.34,0.02,0.15,1.1,2.35,3.59,1.34,2.21,0.85,0.69,38.81,52.96,55.9,60.37,71.87,79.57,84.23,83.16,74.87,65.97,25.69,38.09,42.03,47.88,58.52,66.15,70.53,69.63,60.72,50.1,12.58,23.21,28.16,35.4,45.16,52.73,56.84,56.1,46.57,34.23,54.0,64.0,69.0,78.0,85.0,92.0,95.0,92.0,85.0,88.0,-2.0,12.0,15.0,25.0,29.0,44.0,52.0,51.0,33.0,4.0
1992-01-01,0.63,0.0,4.44,1.23,1.59,5.78,1.96,2.64,0.02,0.23,44.9,52.69,55.26,67.53,72.81,77.03,80.84,78.84,78.53,67.94,31.53,39.36,42.82,52.87,58.89,64.15,67.87,65.82,62.73,52.53,18.16,26.03,30.39,38.2,44.97,51.27,54.9,52.81,46.93,37.13,59.0,70.0,67.0,89.0,86.0,90.0,93.0,94.0,87.0,84.0,-2.0,15.0,10.0,19.0,38.0,41.0,44.0,39.0,36.0,23.0
1993-01-01,0.36,0.86,1.51,2.18,1.26,2.33,1.35,1.14,2.62,2.36,36.48,38.54,55.32,59.23,70.74,77.87,83.97,80.26,72.67,60.65,24.81,27.95,42.03,47.42,58.1,64.07,69.66,67.31,58.13,47.55,13.13,17.36,28.74,35.6,45.45,50.27,55.35,54.35,43.6,34.45,57.0,56.0,73.0,73.0,82.0,94.0,96.0,91.0,89.0,85.0,-6.0,-6.0,10.0,25.0,30.0,41.0,46.0,43.0,29.0,8.0
1994-01-01,0.31,0.63,0.38,1.78,1.02,1.82,2.51,1.92,0.48,1.63,46.61,42.11,58.68,61.6,75.39,84.93,84.84,84.19,79.37,62.16,33.02,29.3,43.18,48.33,60.92,69.85,70.5,70.27,63.22,49.87,19.42,16.5,27.68,35.07,46.45,54.77,56.16,56.35,47.07,37.58,63.0,60.0,73.0,79.0,92.0,97.0,93.0,93.0,88.0,77.0,-2.0,-6.0,8.0,22.0,35.0,44.0,45.0,51.0,28.0,21.0
1995-01-01,0.13,0.96,0.35,2.53,7.47,3.59,0.9,0.37,2.88,0.27,45.29,50.54,54.03,56.37,60.58,75.7,85.16,88.48,72.97,64.03,31.89,36.61,40.98,44.37,50.84,62.82,70.31,73.15,60.12,49.45,18.48,22.68,27.94,32.37,41.1,49.93,55.45,57.81,47.27,34.87,65.0,70.0,75.0,76.0,81.0,92.0,98.0,99.0,95.0,81.0,-10.0,2.0,8.0,22.0,33.0,41.0,50.0,46.0,24.0,24.0
1996-01-01,0.9,0.16,1.8,1.1,4.23,2.09,1.46,0.51,1.34,0.49,42.19,48.24,51.06,63.97,70.13,81.63,84.97,83.42,73.43,64.55,27.69,33.76,37.65,49.6,57.82,67.0,71.56,69.0,59.78,50.65,13.19,19.28,24.23,35.23,45.52,52.37,58.16,54.58,46.13,36.74,73.0,66.0,68.0,84.0,91.0,90.0,97.0,95.0,92.0,85.0,-9.0,-18.0,2.0,25.0,37.0,44.0,53.0,49.0,27.0,23.0
1997-01-01,0.72,0.46,0.5,3.01,1.33,2.97,6.71,5.11,2.06,1.7,38.84,42.68,58.52,55.6,71.42,80.07,85.55,81.48,75.87,65.19,27.35,32.23,42.9,43.25,57.73,67.05,71.35,68.94,63.17,50.6,15.87,21.79,27.29,30.9,44.03,54.03,57.16,56.39,50.47,36.0,66.0,65.0,78.0,78.0,85.0,91.0,95.0,92.0,86.0,85.0,-10.0,11.0,9.0,9.0,31.0,48.0,49.0,51.0,38.0,6.0
1998-01-01,0.2,0.39,2.52,2.03,1.87,1.32,2.38,0.57,0.78,2.9,47.19,46.64,51.13,60.17,73.53,76.53,86.29,84.87,81.2,60.87,33.97,35.73,38.52,47.53,59.5,62.87,73.02,71.06,66.43,49.89,20.74,24.82,25.9,34.9,45.61,49.2,59.74,57.26,51.67,38.9,64.0,59.0,76.0,80.0,85.0,92.0,101.0,95.0,94.0,76.0,6.0,15.0,5.0,27.0,35.0,34.0,54.0,50.0,43.0,27.0
1999-01-01,0.53,0.01,0.5,8.29,1.9,2.45,1.02,2.14,2.46,0.72,46.26,53.5,58.48,56.37,68.61,78.33,86.61,83.42,72.27,65.74,34.73,39.62,43.94,45.2,56.06,64.68,73.27,70.32,58.37,49.94,23.19,25.75,29.39,34.03,43.52,51.03,59.94,57.23,44.47,34.13,62.0,66.0,76.0,75.0,83.0,90.0,97.0,91.0,84.0,83.0,9.0,12.0,15.0,20.0,31.0,41.0,51.0,51.0,28.0,17.0
2000-01-01,0.09,0.41,1.45,0.69,1.2,1.07,0.64,1.47,2.66,0.87,46.77,53.62,55.26,66.87,76.9,81.5,89.19,86.55,77.6,62.55,33.9,39.33,42.82,51.77,61.45,66.33,74.5,72.48,62.25,50.08,21.03,25.03,30.39,36.67,46.0,51.17,59.81,58.42,46.9,37.61,63.0,69.0,71.0,79.0,97.0,95.0,97.0,95.0,94.0,86.0,10.0,13.0,21.0,25.0,30.0,42.0,56.0,53.0,26.0,27.0
